reader.123usenet.nl ; IPv4-only ; Received '200 newsreader.usenetter.nl NNRP Service Ready - info@usenetter.nl (no posting)(no reading)'
news.123usenet.nl ; IPv4-only ; Received '200 newsreader.usenetter.nl NNRP Service Ready - info@usenetter.nl (no posting)(no reading)'
news.4ux.nl ; IPv4-only ; Received '200 Welcome to 4 Usenet Xs'
news.aeton.nl ; IPv4-only ; Received '201 reader.ateon.nl (frontend-F04-09) Server Ready -'
news.alibis.com ; IPv4-IPv6 ; Received '200 Welcome (fx42.am4)'
news.altbinaries.com ; IPv4-only ; Received '200 Welcome (fx37.iad)'
ssl.altbinaries.com ; IPv4-IPv6 ; Received '200 Welcome (fx36.iad)'
news.altopia.com ; IPv4-only ; Received '200 Check out http://www.altopia.com/ for info about NNTP access (posting ok).'
news.anarqy.com ; IPv4-only ; Received '200 Welcome NNTPSwitch-0.12, 112178 groups available, posting allowed, slot 1, connections 1'
news.anonynews.com ; IPv4-only ; Received '200 Welcome to Usenet (fx06.iad)'
reader.astinews.de ; IPv4-only ; Received '200 Welcome to Yabnews'
news.astraweb.com ; IPv4-only ; Received '200 news.astraweb.com NNRP Service Ready (posting ok) (yEnc enabled).'
news.atlantisnews.com ; IPv4-IPv6 ; Received '200 Welcome (fx46.am4)'
news.binaryboy.com ; IPv4-IPv6 ; Received '200 Welcome (fx35.iad)'
news.bintube.com ; IPv4-only ; Received '200 news.bintube.com NNRP Service Ready (posting ok) (yEnc enabled). (fx38.am4)'
eu.bintube.com ; IPv4-only ; Received '200 news.bintube.com NNRP Service Ready (posting ok) (yEnc enabled). (fx25.fr7)'
us.bintube.com ; IPv4-only ; Received '200 news.bintube.com NNRP Service Ready (posting ok) (yEnc enabled). (fx43.iad)'
news.bitusenet.com ; IPv4-IPv6 ; Received '200 Welcome (fx39.am4)'
news.budgetnews.net ; IPv4-only ; Received '200 Welcome to budgetnews.net (fx35.am4)'
news.bulknews.eu ; IPv4-IPv6 ; Received '200 Welcome to Bulknews'
news.cheapnews.eu ; IPv4-IPv6 ; Received '200 Welcome to Cheapnews'
news.chundle.com ; IPv4-IPv6 ; Received '200 Welcome (fx40.am4)'
news.easynews.com ; IPv4-only ; Received '200 news.easynews.com Welcome! (fx41.am4)'
reader.easyusenet.nl ; IPv4-only ; Received '200 Welcome to Easyusenet'
news.easyusenet.nl ; IPv4-only ; Received '200 Welcome to Easyusenet'
news.eweka.nl ; IPv4-only ; Received '200 Welcome to Eweka (fx31.am4)'
reader.extremeusenet.nl ; IPv4-only ; Received '200 Welcome to ExtremeUsenet'
news.extremeusenet.nl ; IPv4-only ; Received '200 Welcome to ExtremeUsenet'
news.fastusenet.org ; IPv4-only ; Received '200 Welcome to Usenet (fx34.iad)'
news.firstload.com ; IPv4-only ; Received '200 Welcome to Firstload (fx28.fr7)'
news.flashnewsgroups.com ; IPv4-only ; Received '200 news.flashnewsgroups.com'
news.forteinc.com ; IPv4-only ; Received '200 Welcome to Forte Premium.  Please Authenticate. (fx33.am4)'
news.frugalusenet.com ; IPv4-only ; Received '200 Welcome to Usenet (fx35.iad)'
news.gebruikhet.net ; IPv4-only ; Received '200 Welcome to Bullcat'
download.gebruikhet.net ; IPv4-IPv6 ; Received '200 Welcome to Bullcat'
news.giganews.com ; IPv4-only ; Received '200 News.GigaNews.Com'
news.hitnews.com ; IPv4-only ; Received '200 Welcome to hitnews.com (fx13.fr7)'
ssl.hitnews.com ; IPv4-only ; Received '200 Welcome to hitnews.com (fx34.am4)'
us.hitnews.com ; IPv4-only ; Received '200 Welcome to hitnews.com (fx24.fr7)'
news.illiminews.com ; IPv4-only ; Received '200 news.iLLimiNews.com'
news.iload-usenet.com ; IPv4-IPv6 ; Received '200 Welcome (fx46.am4)'
news.i-telligent.com ; IPv4-only ; Received '200 Welcome to I-telligent NNTPSwitch-SVN-1.2.1, 116788 groups available, posting allowed, slot 52, connections 1'
news.maximumusenet.com ; IPv4-IPv6 ; Received '200 Welcome (fx45.am4)'
reader.mijnusenet.nl ; IPv4-only ; Received '200 newsreader.usenetter.nl NNRP Service Ready - info@usenetter.nl (no posting)(no reading)'
news.mijnusenet.nl ; IPv4-only ; Received '200 newsreader.usenetter.nl NNRP Service Ready - info@usenetter.nl (no posting)(no reading)'
news.mozilla.org ; IPv4-only ; Received '200 news.mozilla.org'
reader.newsconnection.eu ; IPv4-only ; Received '200 Welcome to Snellerdownloaden'
news.newsdemon.com ; IPv4-IPv6 ; Received '200 Welcome (fx46.am4)'
eu.newsdemon.com ; IPv4-IPv6 ; Received '200 Welcome (fx19.fr7)'
us.newsdemon.com ; IPv4-only ; Received '200 Welcome (fx09.iad)'
ssl.newsfusion.net ; IPv4-only ; Received '200 Welcome to Usenet (fx04.iad)'
eu.newsfusion.net ; IPv4-only ; Received '200 Welcome to Usenet (fx39.am4)'
us.newsfusion.net ; IPv4-only ; Received '200 Welcome to Usenet (fx24.iad)'
news.newsgrabber.nl ; IPv4-only ; Received '200 Welcome to newsgrabber.nl NNTPSwitch-SVN-1.2.1, 116788 groups available, posting allowed, slot 1, connections 1'
news.newsgroup-binaries.com ; IPv4-IPv6 ; Received '200 Welcome (fx12.iad)'
eu.newsgroup-binaries.com ; IPv4-IPv6 ; Received '200 Welcome (fx46.am4)'
news.newsgroupdirect.com ; IPv4-only ; Received '200 Welcome (fx06.iad)'
us.newsgroupdirect.com ; IPv4-only ; Received '200 Welcome (fx15.iad)'
news.newsgroup.ninja ; IPv4-IPv6 ; Received '200 Welcome (fx39.am4)'
news.newsguy.com ; IPv4-only ; Received '200 news3.newsguy.com ready (posting ok).'
news.newsleecher.com ; IPv4-IPv6 ; Received '200 Welcome (fx05.fr7)'
eu.newsleecher.com ; IPv4-IPv6 ; Received '200 Welcome (fx19.fr7)'
us.newsleecher.com ; IPv4-IPv6 ; Received '200 Welcome (fx10.iad)'
news.newsrazor.net ; IPv4-only ; Received '200 NNRP unlimited.newshosting.com Service Ready - support@newshosting.com (fx36.am4)'
reader.newsxs.nl ; IPv4-only ; Received '200 Welcome to NewsXS NNTPSwitch-SVN-1.2.1, 116788 groups available, posting allowed, slot 109, connections 1'
news.newsxs.nl ; IPv4-only ; Received '200 Welcome to NewsXS NNTPSwitch-SVN-1.2.1, 116788 groups available, posting allowed, slot 328, connections 1'
news.ngroups.net ; IPv4-only ; Received '200 Welcome to Usenet (fx33.iad)'
eu.ngroups.net ; IPv4-only ; Received '200 Welcome to Usenet (fx04.fr7)'
us.ngroups.net ; IPv4-only ; Received '200 Welcome to Usenet (fx13.iad)'
news.panic.com ; IPv4-IPv6 ; Received '200 Welcome (fx39.am4)'
reader.powernews.nl ; IPv4-only ; Received '200 Welcome to Easyusenet'
news.powerusenet.com ; IPv4-only ; Received '200 Power Usenet - Unlimited USENET Power!'
news.prepaid-usenet.de ; IPv4-IPv6 ; Received '200 Welcome (fx33.am4)'
news.pureusenet.nl ; IPv4-only ; Received '200 news.pureusenet.nl NNRP Service Ready - support@pureusenet.nl'
news.redorbnews.com ; IPv4-IPv6 ; Received '200 Welcome (fx42.iad)'
eu.redorbnews.com ; IPv4-IPv6 ; Received '200 Welcome (fx46.am4)'
us.redorbnews.com ; IPv4-IPv6 ; Received '200 Welcome (fx31.iad)'
news.rhinonewsgroups.com ; IPv4-only ; Received '200 Rhino Newsgroups - Newsgroups with an attitude!'
us.secretusenet.com ; IPv4-only ; Received '200 Welcome to Usenet (fx38.iad)'
news.shemes.com ; IPv4-IPv6 ; Received '200 Welcome (fx38.am4)'
news.simonews.com ; IPv4-IPv6 ; Received '200 Welcome (fx45.am4)'
news.smsusenet.nl ; IPv4-only ; Received '200 Welcome to SMS Usenet'
reader.snelnl.com ; IPv4-IPv6 ; Received '200 Welcome (fx41.am4)'
news.snelnl.com ; IPv4-IPv6 ; Received '200 Welcome (fx37.am4)'
news.sonic-news.com ; IPv4-only ; Received '200 Welcome NNTPSwitch-0.12, 112178 groups available, posting allowed, slot 4, connections 1'
news.speedplaza.net ; IPv4-only ; Received '200 Welcome to Speedplaza NNTPSwitch-SVN-1.2.1, 116788 groups available, posting allowed, slot 55, connections 1'
reader.ssl-news.info ; IPv4-only ; Received '200 Welcome to SSL News'
news.ssl-news.info ; IPv4-only ; Received '200 Welcome to SSL News'
eu.ssl-news.info ; IPv4-only ; Received '200 Welcome to SSL News'
us.ssl-news.info ; IPv4-only ; Received '200 Welcome to SSL News'
news.sunnyusenet.com ; IPv4-only ; Received '200 news.sunnyusenet.com NNRP Service Ready - support@sunnyusenet.com'
news.supernews.com ; IPv4-only ; Received '200 Supernews server ready'
news.surfino.com ; IPv4-only ; Received '200 Welcome to Treonet NNTPSwitch-SVN-811, 116788 groups available, posting allowed, slot 72, connections 1'
news.thecubenet.com ; IPv4-IPv6 ; Received '200 Welcome (fx43.iad)'
news.thenewsgroups.com ; IPv4-only ; Received '200 Welcome (fx35.iad)'
ssl.thenewsgroups.com ; IPv4-IPv6 ; Received '200 Welcome (fx40.iad)'
news.thundernews.com ; IPv4-IPv6 ; Received '200 Welcome (fx41.am4)'
eu.thundernews.com ; IPv4-IPv6 ; Received '200 Welcome (fx28.fr7)'
us.thundernews.com ; IPv4-IPv6 ; Received '200 Welcome (fx44.iad)'
news.tweaknews.eu ; IPv4-only ; Received '200 news.tweak-news.eu NNRP Service Ready - newsmaster@tweak-news.eu (posting ok)'
news.united-newsserver.de ; IPv4-only ; Received '200  NNRP Service Ready (posting ok).'
news.usebits.net ; IPv4-only ; Received '200 Welcome to Yabnews'
news.usenet4u.nl ; IPv4-only ; Received '200 Welcome (fx34.am4)'
ssl.usenet-access.com ; IPv4-IPv6 ; Received '200 Welcome (fx42.iad)'
reader.usenetbucket.com ; IPv4-only ; Received '200 Welcome to usenetbucket'
news.usenetcentral.com ; IPv4-only ; Received '200 Welcome to Usenet (fx26.iad)'
reader.usenetdiscounter.com ; IPv4-IPv6 ; Received '200 Welcome to Usenetdiscounter'
news.usenet.farm ; IPv4-IPv6 ; Received '200 Welcome at Usenet.Farm (ufs1)'
news.usenetmonster.com ; IPv4-only ; Received '200 NNRP unlimited.newshosting.com Service Ready - support@newshosting.com (fx36.am4)'
news.usenet.net ; IPv4-only ; Received '200 Usenet.net'
ssl.usenet-news.net ; IPv4-only ; Received '200 Welcome to Usenet (fx35.iad)'
us.usenet-news.net ; IPv4-only ; Received '200 Welcome to Usenet (fx10.iad)'
news.usenetnewsserver.com ; IPv4-IPv6 ; Received '200 Welcome (fx37.am4)'
reader.usenet.pro ; IPv4-only ; Received '200 newsreader.usenetter.nl NNRP Service Ready - info@usenetter.nl (no posting)(no reading)'
news.usenetrocket.com ; IPv4-only ; Received '200 Welcome to Usenet (fx01.iad)'
news.usenet.se ; IPv4-only ; Received '200 Welcome to Usenet (fx19.fr7)'
ssl.usenet.se ; IPv4-only ; Received '200 Welcome to Usenet (fx14.fr7)'
news.usenetserver.com ; IPv4-only ; Received '200 news.usenetserver.com Welcome! (fx43.am4)'
news.usenet-to-go.de ; IPv4-only ; Received '201 reader.ateon.nl (frontend-F05-08) Server Ready -'
reader.usenetxl.nl ; IPv4-only ; Received '200 Welcome to Yabnews'
news.usenext.com ; IPv4-only ; Received '200 Welcome to Aviteo Ltd DE'
news.voordeligusenet.nl ; IPv4-only ; Received '200 newsreader.usenetter.nl NNRP Service Ready - info@usenetter.nl (no posting)(no reading)'
reader.wondernews.eu ; IPv4-only ; Received '200 Welcome to Yabnews'
news.xennews.com ; IPv4-only ; Received '200 Welcome to xennews.com (fx46.am4)'
ssl.xennews.com ; IPv4-only ; Received '200 Welcome to xennews.com (fx04.fr7)'
us.xennews.com ; IPv4-only ; Received '200 Welcome to xennews.com (fx37.am4)'
news.xlned.com ; IPv4-only ; Received '200 news.xlned.com NNRP Service Ready - support@xlned.com'
news.xlusenet.nl ; IPv4-IPv6 ; Received '200 Welcome (fx37.am4)'
news.xs4all.nl ; IPv4-IPv6 ; Received '200 news.xs4all.nl NNRP Service Ready (posting ok).'
reader.xsnews.nl ; IPv4-only ; Received '200 Welcome to XS News'
reader.xsusenet.com ; IPv4-only ; Received '200 Welcome (fx45.am4)'
news.yabnews.nl ; IPv4-only ; Received '200 Welcome to Yabnews'
news.z51.biz ; IPv4-only ; Received '200 Welcome to z51.biz NNTPSwitch-SVN-1.2.1, 116788 groups available, posting allowed, slot 166, connections 1'
